Start_X,Start_Y,End_X,End_Y
287,198,287,197
287,197,287,195
287,195,283,188
283,188,276,178
276,178,266,168
266,168,254,160
254,160,242,155
242,155,231,153
231,153,222,153
222,153,215,153
215,153,209,155
209,155,205,161
205,161,203,170
203,170,204,182
204,182,209,199
209,199,219,217
219,217,234,234
234,234,249,249
249,249,261,260
261,260,271,268
271,268,278,274
278,274,283,278
283,278,285,280
285,280,287,281
287,281,288,282
288,282,287,282
287,282,286,282
287,194,287,192
287,192,287,189
287,189,289,183
289,183,294,176
294,176,299,170
299,170,306,164
306,164,313,159
313,159,320,156
320,156,328,154
328,154,336,153
336,153,342,153
342,153,347,153
347,153,353,155
353,155,358,158
358,158,362,162
362,162,366,167
366,167,368,172
368,172,370,179
370,179,371,185
371,185,371,193
371,193,370,201
370,201,368,207
368,207,365,213
365,213,362,219
362,219,358,225
358,225,354,229
354,229,350,232
350,232,346,235
346,235,342,238
342,238,340,240
340,240,337,241
337,241,333,243
333,243,329,245
329,245,325,247
325,247,321,248
321,248,318,250
318,250,314,251
314,251,312,253
312,253,310,254
310,254,308,254
308,254,306,255
306,255,305,256
305,256,303,257
303,257,301,258
301,258,298,260
298,260,296,261
296,261,294,262
294,262,293,263
293,263,292,263
292,263,291,264
291,264,290,265
290,265,289,266
289,266,288,267
288,267,287,268
287,268,285,269
285,269,283,270
283,270,281,272
281,272,280,273
280,273,279,274
279,274,278,275
278,275,277,275
277,275,277,276
277,276,276,277
276,277,276,278
276,278,275,279
275,279,275,280
275,280,274,280
